web-scraper-order,web-scraper-start-url,authors,authors-href,author_name,article_link,number_posts,bio
"1635898109-1928","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/nancy-l-segal/","https://quillette.com/author/nancy-l-segal/","Nancy L. Segal","","2 Posts","Nancy L. Segal is a professor of psychology and director of the Twin Studies Center at California State University, Fullerton. Her new book is called Deeply Divided (Rowman & Littlefield, Nov. 2021)"
"1635894084-1729","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/william-blake/","https://quillette.com/author/william-blake/","William Blake","","1 Post","William Blake is a freelance writer and ex-Libertarian."
"1635893524-1668","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/tania-reynolds/","https://quillette.com/author/tania-reynolds/","Tania Reynolds","","1 Post","null"
"1635891218-1436","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/nadim-kobeissi/","https://quillette.com/author/nadim-kobeissi/","Nadim Kobeissi","","1 Post","null"
"1635887161-1007","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/aaron-pope/","https://quillette.com/author/aaron-pope/","Aaron Pope","","1 Post","Aaron Pope is a combat veteran who served in Afghanistan, and a graduate of Algonquin College’s journalism program. He lives in Ottawa."
"1635888613-1125","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/christian-berggren/","https://quillette.com/author/christian-berggren/","Christian Berggren","","2 Posts","null"
"1635890703-1374","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/brian-boutwell-and-kevin-beaver/","https://quillette.com/author/brian-boutwell-and-kevin-beaver/","Brian Boutwell and Kevin Beaver","","1 Post","Brian Boutwell is an Associate Professor of Criminology and Criminal Justice at Saint Louis University. 

Kevin M. Beaver is a Professor of Biosocial Criminology at Florida State University."
"1635888939-1144","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/clay-routledge/","https://quillette.com/author/clay-routledge/","Clay Routledge","","10 Posts","Clay Routledge is a Professor of Psychology at North Dakota State University."
"1635892026-1531","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/ric-royer/","https://quillette.com/author/ric-royer/","Ric Royer","","1 Post","null"
"1635893799-1694","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/titania-mcgrath/","https://quillette.com/author/titania-mcgrath/","Titania McGrath","","1 Post","null"
"1635905160-2123","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/lawrence-m-krauss/","https://quillette.com/author/lawrence-m-krauss/","Lawrence M. Krauss","","","Lawrence M. Krauss, a theoretical physicist, is president of the Origins Project Foundation. His most recent book is The Physics of Climate Change."
"1635894042-1723","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/wael-taji/","https://quillette.com/author/wael-taji/","Wael Taji","","1 Post","null"
